employer_name,count,sum_of_total_workers,e_name,certified_number
OBERON IT INC,1,1,,
"DMI INTERNATIONAL, INC.",1,1,,
HOME HEALTH STRATEGIC MANAGEMENT,2,2,,
"DMR CONSTRUCTION, INC.",1,1,,
QUOTEWIZARD.COM LLC,1,1,,
DNA MILITARY INC,1,1,,
"OASIS TRILINGUAL COMMUNITY SCHOOL, INC.",3,3,,
BOR USGA GEORGIA REGENTS UNIVERSITY,2,2,,
"OASIS MEDICAL ASSOCIATES, INC.",1,1,,
DNA2.0,1,1,,
"QUMU, INC.",1,1,,
DNP INTERNATIONAL CO. INC.,1,1,,
"OAKMONT SCIENTIFIC, INC",2,7,,
"DOCE, LLC",1,1,,
"OAKLAWN PSYCHIATRIC CENTER, INC.",1,1,,
"DOCKWISE ENGINEERING SERVICES, LLC",2,2,,
SENTRI INC.,1,1,,
"BORG WARNER EMISSIONS SYSTEMS, INC.",1,1,,
SPARKYPANTS STUDIOS LLC,1,1,,
"BORNT & SONS, INC.",1,1,,
"NYSE ARCA, INC.",1,1,,
DOHERTY ADVISORS,1,1,,
"IQ PIPELINE, LLC",2,2,,
"BOSCH SECURITY SYSTEMS, INC",1,1,,
ST. MARY MEDICAL CENTER,2,2,,
"AGRICULTURAL MODELING AND TRAINING SYSTEMS, LLC",1,1,,
"GLOBO LANGUAGE SOLUTIONS, LLC",1,1,,
BOSTON ARCHITECTURAL COLLEGE,1,1,,
SPOKEO INC.,1,1,,
"DOMIAN ASPHALT PAVING & CONSTRUCTION, INC.",1,1,,
QUANTIFIND INC.,1,1,,
DOMINICAN UNIVERSITY OF CALIFORNIA,1,1,,
"HEALTHCARE EXCELLENCE INSTITUTE, LLC",1,1,,
DOMINION TECHNOLOGY SERVICES CORP INC,1,1,,
"TARHEELS HEALTH SERVICES, LLC",1,1,,
DOMINO'S PIZZA LLC,1,1,,
"USA GATEWAY TRAVEL, INC.",1,1,,
"DONALD J MEIS, DDS, PC",1,1,,
"QUAD CITIES NEPHROLOGY, P.L.C., L.L.C.",2,2,,
BOSTON ROAD BEST MOTORS INC.,1,1,,
STARS EDUCATION SERVICES INC.,1,1,,
"BOTKIER NY, LLC",1,1,,
THE INTEGER GROUP LLC,1,1,,
"DORF KETAL CHEMICALS, LLC",3,3,,
SPORTS ACADEMY,1,1,,
DOT HILL SYSTEMS CORP,1,10,,
THYSSENKRUPP INDUSTRIAL SOLUTIONS (USA),1,1,,
47 HOTEL ASSOCIATES LLC,1,1,,
ST. JOHN ARAB AMERICAN CATHOLIC COMMUNITY,3,3,,
"AH DESIGN STUDIO, INC.",1,1,,
"STAYINFRONT, INC.",1,1,,
"APOGEE MEDICAL GROUP, BUFFALO, NY",1,1,,
NUVEEN INVESTMENTS INC.,1,1,,
"BOTTLING GROUP, LLC.",1,1,,
STEP BY STEP CARE GROUP,1,1,,
"BOWHEAD SYSTEMS MANAGEMENT, LLC.",1,1,,
"STEVEN E. MILLER, CPA, PC",1,1,,
"DOUGLAS SCIENTIFIC, LLC",1,1,,
NUNTIO TECHNOLOGIES INC.,1,1,,
DOVE SCIENCE ACADEMY-OKC,1,1,,
"STINGRAY OFFSHORE SOLUTIONS, LLC",1,1,,
DOVE SCIENCE ACADEMY-OKLAHOMA CITY,1,1,,
"STITCH LABS, INC.",1,1,,
"DOXIMITY, INC.",2,2,,
STONE COAST FUND SERVICES LLC,1,1,,
"DR. DENTAL OF EAST HAVEN, P.C.",1,1,,
NTT DATA FEDERAL INC.,1,1,,
DR. DENTAL OF LOWELL,1,1,,
STORY2 LLC,1,1,,
"DR. G'S FRANCHISING COMPANIES, LLC",1,1,,
"STRATEGIC ALTERNATIVE FUNDS GROUP, LLC",1,1,,
"DR. GIANCARLO G. ROMERO, DDS, MS, PA",1,1,,
"STRUCTURES NORTH CONSULTING ENGINEERS, INC.",1,1,,
"DRAFTFCB, INC.",2,2,,
HALFEN USA LLC,1,1,,
"ACE MARKETING, INC",1,1,,
INDIANA FINANCE AUTHORITY,1,1,,
APOLLO BUILDERS LLC,1,1,,
"PANGAIA PARTNERS, LLC",1,1,,
"DREAM MASTER, LLC",2,2,,
STYLEADDICT LLC,3,8,,
"DREAM WARRIOR GROUP, INC.",1,1,,
"KCI TECHNOLOGIES, INC.",1,1,,
"DRILLINGINFO, INC.",1,1,,
"HOISTON INTERNATIONAL ENTERPRISES, INC.",1,1,,
DRILLMEC INC.,1,1,,
KIDNEY CARE CENTER GRAYSLAKE LLC,1,1,,
"APOLLO GROUP, INC.",2,2,,
IPRO SOLUTIONS (USA) INC.,1,1,,
"APOLLO LIGHTSPEED, LLC, AN APOLLO EDUCATION GROUP COMPANY",1,1,,
ROLLEASE INC,1,1,,
DRIZZLE LABS INC.,1,1,,
PROPHET BRAND STRATEGY INC.,1,1,,
DSAC,1,1,,
SUN LIFE ASSURANCE COMPANY OF CANADA (U.S.),1,1,,
"4CONSULTING, INC",1,1,,
"SUN NOODLE NEW JERSEY, LLC, 100% OWNED BY H & U, INC.",1,1,,
"ACE TECH, INC.",1,1,,
SUNG TIEN CORPORATION,1,1,,
ACE WORLD COMPANIES,1,1,,
"SUNRIGHT AMERICA, INC.",3,3,,
APPBASE INC.,1,1,,
IPP SOLAR,1,1,,
"BRANDES INVESTMENT PARTNERS, L.P.",1,1,,
"HBLA, CERTIFIED PUBLIC ACCOUNTANTS, INC.",1,1,,
BRANDON ARCHITECTS INC.,1,1,,
SUNRISE MEDICAL (US) LLC,1,1,,
"DSYS, INC.",1,1,,
NORTHWESTERN MICHIGAN COLLEGE,1,1,,
DTE ELECTRIC COMPANY,2,2,,
"MANHEIM, INC.",1,1,,
DUCO INC.,1,1,,
SUNSTONE BROKERS LLC,1,1,,
APPCO PHARMACEUTICALS CORP.,5,5,,
SUPERIOR AIR CHARTER DBA JETSUITE AIR,1,1,,
"BRAVE/ARCHITECTURE, INC.",1,1,,
IBTECH USA INC,1,1,,
"DUFL, INC.",1,1,,
GLOBAL THEMATIC PARTNERS,1,1,,
"DUFRENSE, LLC",1,1,,
"SUZHOU-CHEM, INC.",1,1,,
DUKE CITY SPORTS ENTERTAINMENT GROUP,1,1,,
SXSW LLC,2,2,,
"DUKHON TAX AND ACCOUNTING, LLC",1,1,,
"PRIME HEALTHCARE SERVICES - MESQUITE, LLC D/B/A DALLAS REG MED CTR",1,1,,
APPEN BUTLER HILL GROUP LLC,1,1,,
"NORTHERN BEEF INDUSTRIES, INC",1,1,,
"BRAZIL GAS LOGISTICS, LLC",1,1,,
PRICE PAIGE & COMPANY,1,1,,
BRAZIL GREEN ENERGY TECHNOLOGIES LLC,1,1,,
"IPC HOSPITALISTS OF NEW ENGLAND, P.C.",1,1,,
"BRAZIL GREEN ENERGY TECHNOLOGIES, LLC",1,1,,
HAYDON BUILDING CORP,1,1,,
"BRB MANAGEMENT, INC.",1,1,,
"SYNTEL, INC.",1,1,,
DUODUO MEDIA TECHNOLOGY,1,1,,
NORTH KINGDOM DESIGN & COMMUNICATION INC.,1,1,,
DUOLINE TECHNOLOGIES LP,1,1,,
"SYSCOM (USA), INC",2,2,,
"ACEL, LLC",1,1,,
INVUS FINANCIAL ADVISORS LLC,1,1,,
AIA TECHNOLOGY LLC,1,2,,
"PARTICLE SCIENCES, INC.",1,1,,
"DURBIN BENNETT PETERSON, TAX ADVISORS LLP",1,1,,
"IPAC USA, LLC",1,1,,
"BRETTON WOODS RECREATION CENTER, INC.",1,1,,
"PRESCOTT HOUSE, INC.",1,1,,
DWS INVESTMENT DISTRIBUTORS INC.,1,1,,
TABERNACLE BAPTIST CHURCH,2,2,,
AIDP INC,1,1,,
TACCOUNT LLC,1,1,,
"APPLE HEALTHCARE GROUP, P.C.",1,1,,
NORDSTROM FSB,1,1,,
"DYE PRECISION, INC.",1,1,,
KEVIN HUBER ASSOCIATES INC.,1,1,,
APPLE INC,2,2,,
"TAR HEELS HEALTH CARE SERVICES, LLC",1,1,,
BRIAR CLIFF UNIVERSITY,1,1,,
"TASHIE RESTAURANT GROUP, LLC",2,2,,
"AIG AEROSPACE INSURANCE SERVICES, INC.",1,1,,
PORTWARE LLC,1,1,,
"APPLE, INC.",2,2,,
"TAV HOLDINGS, INC.",1,1,,
"BRICKRED SYSTEMS, INC.",1,1,,
TEACHING HOUSE INCORPORATED,1,1,,
"ACHELOUS PARTNERS, LLC",1,1,,
TECH 2000 INCORPORATED,1,1,,
"AIG ENTERPRISE SERVICES, LLC",2,2,,
TECH2 BUSINESS SOLUTIONS,1,1,,
"AIG GLOBAL CLAIMS SERVICES, INC.",1,1,,
"HAGGEN, INC.",1,1,,
"BRIDGEATHLETIC, INC.",2,2,,
NOISE MARKETING LLC,1,2,,
"DYNATEST NORTH AMERICA, INC.",2,3,,
"NNIT, INC.",1,1,,
E & E MANUFACTURING COMPANY INC.,2,2,,
TECHICON SOFTWARE SOLUTIONS INC.,5,5,,
"E & E MANUFACTURING COMPANY, INC.",1,1,,
POIT LLC,1,1,,
AIG PROPERTY CASUALTY COMPANY,1,1,,
TECHNICAL MANUFACTURING CORPORATION,1,1,,
"APPLIED CORE TECHNOLOGY, INC.",1,1,,
"TECHNIP UMBILICALS, INC.",1,1,,
"E 7 Y INSURANCE AGENCY, LLC",1,1,,
TECHNOHUB INC,1,2,,
BRIDGETON LANDFILL (REPUBLIC SERVICES INC ENTITY),1,1,,
"U.S. EDUCATION DELIVERY INSTITUTE, INC.",1,1,,
AILIVE HOLDING CORPORATION,1,1,,
TEJANO CENTER FOR COMMUNITY CONCERNS - RAUL YZAGUIRRE SCHOOL FOR SUCCE,1,1,,
BRIGADE MEDIA INC.,1,1,,
"GOLD  FLAG USA, INC.",1,1,,
E-FORENSICS INC.,2,2,,
TELECOM NORTH AMERICA,1,1,,
E-IT PROFESSIONALS CORP,1,1,,
KILVER MANUFACTURING TRUST,1,1,,
E-MDS INC.,1,1,,
"TELEGRAPH HILL PROGRAM INITIATIVES, INC.",1,1,,
"BRIGHT BUSINESS MEDIA, LLC",1,1,,
PI CAPITAL INTERNATIONAL LLC,1,1,,
"E-VENTURES WORLDWIDE, LLC",1,1,,
PICMONIC INC.,1,1,,
"BRIGHT IDEAS, INC.",1,1,,
"PIERCE & ASSOCIATES COMPANY, INC.",1,1,,
E. VAUGHAN RIVERS INC,2,2,,
"TEREX ADVANCE MIXER, INC.",1,1,,
AIM BIG INC.,6,6,,
"IBRIDGE  LANGUAGE, LLC",1,1,,
"AIM BIG, INC.",27,27,,
PHOCOS NORTH AMERICA INC,3,3,,
"AIM BIG, INC. DBA AXIOM TECHNOLOGY GROUP, INC.",14,14,,
"TENSORCOM, INC",1,1,,
"E.G. DORN & ASSOCIATES, INC.",1,1,,
"TELECHECK SERVICES, INC.",1,1,,
"E2OPEN, INC.",6,6,,
THE BERGQUIST COMPANY,1,1,,
"E8 SECURITY, INC.",1,1,,
PETRON INDUSTRIES INC.,2,2,,
"APPLIED SCIENCES GROUP, INC.",2,2,,
"PETCO ANIMAL SUPPLIES, INC.",1,1,,
"BRIGHTFRACTAL, INC.",1,3,,
"NGCW, INC.",1,1,,
EADO CROSSFIT,3,3,,
"THE DIGITAL GROUP OF COMPANIES, INC.",7,7,,
"APPLIED TECHNOLOGIES ASSOCIATES, INC.",1,1,,
THE BOSTON CONSULTING GROUP,1,1,,
"BRIGHTLINE CPAS & ASSOCIATES, INC.",1,1,,
"INVIEW LABS, LTD",1,1,,
AIMIA PROPRIETARY LOYALTY U.S. INC. F/K/A CARLSON MARKETING WORLDWIDE,2,2,,
THE CONTEXT NETWORK,1,1,,
BRIGHTORDER US INC.,1,1,,
"PERIPHERAL COMPUTER SUPPORT, INC.",3,3,,
EAGLERAIL CONTAINER LOGISTICS LLC,1,1,,
"NEXTERA ENERGY TRANSMISSION, LLC.",1,1,,
EARTH TREKS CLIMBING CENTERS,1,1,,
INVOCO ENTERPRISES,1,1,,
"EARTHQUAKE PROTECTION SYSTEMS, INC.",2,2,,
"THE DENTAL ARK, P.L.L.C.",1,1,,
"110 HOLDINGS, LLC",1,1,,
KIVA SYSTEMS LLC,1,1,,
1901 GROUP LLC,1,1,,
THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY,1,1,,
4G PROJECT PEOPLE INC.,1,1,,
THE GREENVILLE CLINIC P A,1,1,,
"AIR INTERNATIONALE, LLC",1,1,,
THE KEW-FOREST SCHOOL INC.,1,1,,
APPTEON INC,2,2,,
"TECTURE, LLC",1,1,,
BRISTOL PLAZA FAMILY DENTAL PC,1,1,,
THE MICHAEL J. FOX FOUNDATION FOR PARKINSON'S RESEARCH,1,1,,
"BRISTOL PLAZA FAMILY DENTAL, PC",1,1,,
"THE FUSION GROUP, LTD.",1,1,,
BROADPOINT TECHNOLOGIES,1,1,,
"V MARINE, LLC",1,1,,
"EASTMAN, LIBERSAT & MEYLER, PC",1,1,,
THE NATIONAL HEAD START ASSOCIATION,1,1,,
EASTRAY TECHNOLOGIES INC,2,2,,
THE OCTAGON GROUP CORPORATION,2,2,,
EBATES PERFORMANCE MARKETING,1,1,,
"THE PERMANENTE MEDICAL GROUP, INC.",1,1,,
EBAY,1,1,,
IBM INDIA PRIVATE LTD,25,25,,
APPTITUDE,2,2,,
"NEWINN, LLC",1,1,,
APPTUS CORPORATION,1,1,,
THE RENEWABLES CONSULTING GROUP LLC,1,1,,
BROAN-NUTONE LLC,1,1,,
"INVIA, LLC",1,1,,
"EBH ENTERPRISES, INC.",1,1,,
"NEW YORK STATE CATHOLIC HEALTH PLAN, INC.",2,2,,
"EBS DEALING RESOURCES, INC.",1,1,,
PEACE HAVEN CORP,1,7,,
ECHELON CORPORATION,2,2,,
"NEW YORK MERCANTILE EXCHANGE, INC.",3,3,,
"APRENDAMOS INTERVENTION TEAM, PA",1,1,,
NEW YORK JETS LLC,1,1,,
"BROOKDALE LIVING COMMUNITIES, INC.",1,1,,
WON LAW FIRM PC,1,1,,
BROOKFIELD ASSET MANAGEMENT LLC,1,1,,
"INVESTORS MANAGEMENT TRUST REAL ESTATE GROUP, INC.",1,1,,
ECHOSTAR CORPORATION,1,1,,
THE OFFICE OF BRIAN H STARKEY,1,1,,
"ECLIPSE AEROSPACE, INC.",1,1,,
THE NEWBERRY LIBRARY,1,1,,
ECLIPSE HEALTHCARE LLC,1,1,,
NEW YORK CHIROPRACTIC COLLEGE,1,1,,
"APRIVA, LLC",1,1,,
NEW RESOURCE BANK,2,2,,
BROOKLYN-GUERNSEY-MALCOLM COMMUNITY SCHOOL DISTRICT,1,1,,
THE SOLUTION GROUP CORP.,1,1,,
"ECO-BAT AMERICA, LLC",1,1,,
"VF SPORTSWEAR, INC.",4,4,,
ECODISTRICTS,3,3,,
INVESTMENT ANALYST,1,1,,
ECOLAB USA,1,1,,
REVWAYS CORP,1,1,,
"ECOLOGIC SOLUTIONS HOLDING, INC.",1,1,,
THE TRUSTEES OF CUSHING ACADEMY,1,1,,
